client_id,year_month,invoiced_amt,paid_amt,late_pay_count,failed_pay_count,total_pay_count,ticket_count,escalated_ticket_count,total_usage,usage_infra,usage_cloud,usage_security,upgrade_amt,downgrade_amt,revenue_trend_3mo,usage_trend_3mo,late_payment_rate,sla_breach_rate,months_since_last_upgrade,is_declining_engagement_flag,services_count,client_name,industry,client_size,contract_start_date,contract_type,account_manager,region,nps_score,is_churned,churn_date,tenure_months
CLT001,2024-02,17814.060675544613,18499.1220536301,0.0,0.0,1.0,0.0,0.0,692078.9209735708,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,1,"Rodriguez, Figueroa and Sanchez",Technology,Enterprise,2024-02-05,Annual,Charlie Brown,West,49,False,,28
CLT001,2024-03,17845.958610621623,18499.1220536301,0.0,0.0,1.0,1.0,0.0,811359.9729707916,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,1,"Rodriguez, Figueroa and Sanchez",Technology,Enterprise,2024-02-05,Annual,Charlie Brown,West,49,False,,28
CLT001,2024-04,18459.341756629296,18499.1220536301,0.0,0.0,1.0,0.0,0.0,810054.968125286,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,0,1,"Rodriguez, Figueroa and Sanchez",Technology,Enterprise,2024-02-05,Annual,Charlie Brown,West,49,False,,28
CLT001,2024-05,18391.35817750548,18391.35817750548,0.0,0.0,1.0,0.0,0.0,832694.4031664776,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,0,1,"Rodriguez, Figueroa and Sanchez",Technology,Enterprise,2024-02-05,Annual,Charlie Brown,West,49,False,,28
CLT001,2024-06,18216.200862457823,18216.200862457823,1.0,0.0,1.0,0.0,0.0,822947.0379397009,0.0,0.0,0.0,0.0,0.0,1.023473527287815,1.1819987913181331,0.3333333333333333,0.0,4,0,1,"Rodriguez, Figueroa and Sanchez",Technology,Enterprise,2024-02-05,Annual,Charlie Brown,West,49,False,,28
CLT001,2024-07,18614.84368397405,18614.84368397405,1.0,0.0,1.0,1.0,0.0,814392.2867680142,0.0,0.0,0.0,0.0,0.0,1.0294797348012086,1.0933584416202695,0.6666666666666666,0.0,5,0,1,"Rodriguez, Figueroa and Sanchez",Technology,Enterprise,2024-02-05,Annual,Charlie Brown,West,49,False,,28
CLT001,2024-08,18242.7312129093,18242.7312129093,0.0,0.0,1.0,1.0,0.0,838990.2012399506,0.0,0.0,0.0,0.0,0.0,1.0203816464179902,1.0676638345020304,0.6666666666666666,0.0,6,0,1,"Rodriguez, Figueroa and Sanchez",Technology,Enterprise,2024-02-05,Annual,Charlie Brown,West,49,False,,28
CLT001,2024-09,18517.89566650092,18517.89566650092,0.0,0.0,1.0,3.0,0.0,815749.8118873137,0.0,0.0,0.0,0.0,0.0,1.006894702978541,1.0090542753268346,0.3333333333333333,0.0,7,0,1,"Rodriguez, Figueroa and Sanchez",Technology,Enterprise,2024-02-05,Annual,Charlie Brown,West,49,False,,28
CLT001,2024-10,19244.98959648573,19244.98959648573,0.0,0.0,1.0,1.0,0.0,845168.1940704468,0.0,0.0,0.0,0.0,0.0,1.0056035433686648,1.001393476768247,0.0,0.0,8,0,1,"Rodriguez, Figueroa and Sanchez",Technology,Enterprise,2024-02-05,Annual,Charlie Brown,West,49,False,,28
CLT001,2024-11,18604.169153436604,18604.169153436604,0.0,0.0,1.0,0.0,0.0,820387.084884235,0.0,0.0,0.0,0.0,0.0,1.0141828988476647,1.012094765746065,0.0,0.0,9,0,1,"Rodriguez, Figueroa and Sanchez",Technology,Enterprise,2024-02-05,Annual,Charlie Brown,West,49,False,,28
